,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
104898063,10851,10851,00069003100002,E09000007,Camden,Inner London - West,31,HEATH STREET,LONDON,NW3 6TR,Shops,249,Retail High Street,Retail,69.49,31000.0,2009-10-29 00:00:00+00:00,2010,2017-03,15004.0,HAMPSTEAD BAZAAR LIMITED,0.0,False,2015-12-17,471.0,True,5046417,17696090.0,CR,,526346.0,185709.0,51.55612720000001,-0.1789002,2,,,,31.0,,,,31.0,,,,,20499121,,N,osgb1000002298675139,14.0,osgb4000000030223886,4,osgb1000004341004,4,104898063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6TR,NW3 6TR,S,1U,D,E05000133,2012-03-19,1,CS,249.0,POINT (526347.753826141 185709.3083544686),2015-12-17 00:00:00,104898063,2017-04-01,471,2010-04-01,2086 days,2557,1,471,2086,0,False,True,Hampstead
104999063,12022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
105066063,12671,12671,00069009120005,E09000007,Camden,Inner London - West,91A & 91B,HEATH STREET,LONDON,NW3 6SS,Shops,249,Retail High Street,Retail,45.6,24250.0,2017-04-01 00:00:00+00:00,2017,2021-03,12100.75,NORMAN LINTON (HOLDINGS) LIMITED,0.0,False,2017-11-28,1220.0,True,5087749,17695975.0,CR08,,526351.0,186007.0,51.558804200000004,-0.17872120000000002,2,SPYER & DOVE,,91A-91B,,,,,91.0,A,91.0,B,,20499121,,N,osgb1000002298675704,12.0,osgb4000000030223931,3,osgb1000004343459,8,105066063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6SS,NW3 6SS,S,1Z,D,E05000135,2012-03-19,0,CS,249.0,POINT (526352.7493323702 186007.313094698),2017-11-28 00:00:00,105066063,2021-04-01,1220,2010-04-01,2798 days,4018,0,1220,2798,0,False,True,Hampstead
105070063,12844,12844,00069010410014,E09000007,Camden,Inner London - West,BST & GND FS 104,HEATH STREET,LONDON,NW3 1DR,Restaurants,234,Retail Restaurants & Cafes,Retail,96.92,50000.0,2017-04-01 00:00:00+00:00,2017,2020-06,24950.0,MAMU VENTURES LTD,25198.05,False,2019-04-01,457.0,True,5086889,17679851.0,C,,526381.0,186010.0,51.5588244,-0.1782876,1,,,,104.0,,,,104.0,,,,,20499121,,N,osgb1000002298678459,10.0,osgb4000000030603249,3,osgb1000004343343,3,105070063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1DR,NW3 1DR,S,1B,D,E05000135,2012-03-19,2,CR,234.0,POINT (526382.7494453161 186010.3079783643),2019-04-01 00:00:00,105070063,2020-07-01,457,2010-04-01,3287 days,3744,1,457,3287,0,False,True,Hampstead
105079063,12694,12694,00069009530015,E09000007,Camden,Inner London - West,BST & GND FS 95-97,HEATH STREET,LONDON,NW3 6SS,Shops,249,Retail High Street,Retail,39.9,17250.0,2010-04-01 00:00:00+00:00,2010,2015-12,8280.0,COLVIN NURSING AGENCY LTD - DISSOLVED,0.0,False,2015-09-07,116.0,True,5083262,50545520.0,C,,526361.0,186030.0,51.5590086,-0.1785688,1,,,,97.0,,,,95.0,,97.0,,,20499121,,N,osgb1000002298938646,9.0,osgb4000000030330297,2,osgb1000004343427,3,105079063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6SS,NW3 6SS,S,2F,D,E05000135,2012-03-19,1,CS,249.0,POINT (526362.7472422001 186030.3064745716),2015-09-07 00:00:00,105079063,2016-01-01,116,2010-04-01,1985 days,2101,1,116,1985,0,False,True,Hampstead
105083063,12954,12954,0006901071999B,E09000007,Camden,Inner London - West,107-111,HEATH STREET,LONDON,NW3 6SS,Restaurants,234,Retail Restaurants & Cafes,Retail,99.96,66000.0,2010-04-01 00:00:00+00:00,2010,2014-12,31812.0,RAINBOW OVERSEAS LTD,0.0,False,2013-09-08,480.0,True,5082241,17695967.0,CR07,,526360.0,186059.0,51.5592695,-0.17857279999999998,2,LA GAFFE,,107-111,,,,,107.0,,111.0,,,20499121,,N,osgb1000002298678291,14.0,osgb4000000030330294,2,osgb1000004343417,4,105083063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6SS,NW3 6SS,S,1E,D,E05000135,2012-03-19,0,CR,234.0,POINT (526361.7474225231 186059.3129594581),2013-09-08 00:00:00,105083063,2015-01-01,480,2010-04-01,1256 days,1736,1,480,1256,0,False,True,Hampstead
110914063,12434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
111990063,21597,21597,001530006A0053,E09000007,Camden,Inner London - West,1ST F REAR 6A,HAMPSTEAD HIGH STREET,LONDON,NW3 1PR,Offices (Inc Computer Centres),203,Office General,Office,39.4,13750.0,2017-04-01 00:00:00+00:00,2017,2019-09,6751.25,RADICI PLASTICS U.K. LTD,,False,2019-05-01,153.0,True,5148233,,C,5087620.0,526626.0,185654.0,51.55557020000001,-0.1748833,2,,,,,,,1ST FLOOR REAR,6.0,A,,,,20400153,,N,,,osgb5000005156655096,1,osgb1000004340005,5,111990063.0,HAMPSTEAD HIGH STREET,,,LONDON,CAMDEN,,,NW3 1PR,,,C,E05000135,,0,CO,203.0,POINT (526627.757204138 185654.3080595399),2019-05-01 00:00:00,111990063,2019-10-01,153,2010-04-01,3317 days,3470,1,153,3317,0,False,True,Hampstead
112318063,23118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
112447063,10805,10805,00069003000001,E09000007,Camden,Inner London - West,BST & GND F(S) 30,HEATH STREET,LONDON,NW3 6TE,Hairdressing/Beauty Salons,417,Retail High Street,Retail,105.5,34000.0,2009-10-29 00:00:00+00:00,2010,2016-09,16456.0,VIA ARKADIA (UK) LTD,0.0,False,2016-08-15,47.0,True,5026968,17696034.0,CR08,,526374.0,185698.0,51.5560221,-0.1785005,2,,,,30.0,,,,30.0,,,,,20499121,,N,osgb1000002298675391,14.0,osgb4000000030223886,4,osgb1000004341054,4,112447063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6TE,NW3 6TE,S,1L,D,E05000135,2012-03-19,1,CS3,417.0,POINT (526375.7527249909 185698.3106724488),2016-08-15 00:00:00,112447063,2016-10-01,47,2010-04-01,2328 days,2375,1,47,2328,0,False,True,Hampstead
113913063,10251,10251,00069000800004,E09000007,Camden,Inner London - West,(INC 1A-3A PERRINS COURT) GND F 8,HEATH STREET,LONDON,NW3 6TE,Shops,249,Retail High Street,Retail,83.75,39000.0,2017-04-01 00:00:00+00:00,2017,2021-03,19461.0,FAREBROTHER ELLIS,0.0,False,2010-06-03,3955.0,True,5049299,17696022.0,CR,,526394.0,185630.0,51.555406500000004,-0.1782366,1,LINEA MENSWEAR,,,8.0,,,,8.0,,,,,20499121,,N,osgb1000002298675475,16.0,osgb4000000031070300,1,osgb1000004341265,4,113913063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6TE,NW3 6TE,S,1Y,D,E05000135,2012-03-19,2,CS,249.0,POINT (526395.7518376284 185630.3085267852),2010-06-03 00:00:00,113913063,2021-04-01,3955,2010-04-01,63 days,4018,0,3955,63,0,False,True,Hampstead
144053063,12792,12792,00069010210008,E09000007,Camden,Inner London - West,BST & GND F(S) 102,HEATH STREET,LONDON,NW3 1DR,Restaurants,234,Retail Restaurants & Cafes,Retail,134.66,74500.0,2017-04-01 00:00:00+00:00,2017,2018-06,36728.5,FINE DINING RESTAURANTS LTD,0.0,False,2018-02-07,144.0,True,5071965,17679850.0,C,,526383.0,186006.0,51.558788,-0.1782602,1,,,,102.0,,,,102.0,,,,,20499121,,N,osgb1000002298875513,11.0,osgb4000000030603249,3,osgb1000004343344,4,144053063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1DR,NW3 1DR,S,2A,D,E05000135,2012-03-19,3,CR,234.0,POINT (526384.7495687183 186006.3074237503),2018-02-07 00:00:00,144053063,2018-07-01,144,2010-04-01,2869 days,3013,1,144,2869,0,False,True,Hampstead
176189063,11311,11311,00069004510006,E09000007,Camden,Inner London - West,GND F & BST 45,HEATH STREET,LONDON,NW3 6UA,Shops,249,Retail High Street,Retail,101.6,32000.0,2010-01-27 00:00:00+00:00,2010,2011-03,13024.0,LBC - XG852CE020,0.0,False,2010-11-22,130.0,True,5032097,17696134.0,CR,,526354.0,185767.0,51.5566466,-0.1787641,1,OXFAM HAMPSTEAD BOOKS,,,45.0,,,,45.0,,,,,20499121,,N,osgb1000002298937298,13.0,osgb4000000030223888,2,osgb5000005152464605,1,176189063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6UA,NW3 6UA,S,1P,D,E05000133,2012-03-19,3,CS,249.0,POINT (526355.7502428748 185767.3031373711),2010-11-22 00:00:00,176189063,2011-04-01,130,2010-04-01,235 days,365,1,130,235,0,False,True,Hampstead
179666063,22252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
194153063,21553,21553,001530006A0034,E09000007,Camden,Inner London - West,1ST F FRONT 6A,HAMPSTEAD HIGH STREET,LONDON,NW3 1PR,Offices (Inc Computer Centres),203,Office General,Office,61.4,19500.0,2017-04-01 00:00:00+00:00,2017,2019-09,9574.5,RADICI PLASTICS (UK) LTD,,False,2019-05-01,153.0,True,5148232,17680624.0,CI01CM,5087620.0,526626.0,185654.0,51.55557020000001,-0.1748833,2,RADICI PLASTICS UK LTD,,6A,,,,1ST FLOOR FRONT,6.0,A,,,,20400153,,N,osgb1000002298673903,10.0,osgb5000005156655096,1,osgb1000004340005,5,194153063.0,HAMPSTEAD HIGH STREET,,HAMPSTEAD HIGH STREET,LONDON,CAMDEN,LONDON,NW3 1PR,NW3 1PR,S,1Z,D,E05000135,2012-03-19,0,CO,203.0,POINT (526627.757204138 185654.3080595399),2019-05-01 00:00:00,194153063,2019-10-01,153,2010-04-01,3317 days,3470,1,153,3317,0,False,True,Hampstead
197432063,353568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
210588063,21427,21427,00153000400007,E09000007,Camden,Inner London - West,4,HAMPSTEAD HIGH STREET,LONDON,NW3 1PR,Shops,249,Retail High Street,Retail,91.37,81500.0,2017-04-01 00:00:00+00:00,2017,2021-03,41728.0,MDDT NOMINEES SA & WOLFE NOMINEES LTD,263.43,False,2019-09-18,561.0,True,5019470,,C,,526647.0,185648.0,51.5555116,-0.17458270000000006,2,,,,,,,,4.0,,,,,20400153,,N,,,osgb5000005156655088,1,osgb1000004340008,4,210588063.0,HAMPSTEAD HIGH STREET,,,LONDON,CAMDEN,,,NW3 1PR,,,L,E05000135,,0,CS,249.0,POINT (526648.7581488938 185648.3114796765),2019-09-18 00:00:00,210588063,2021-04-01,561,2010-04-01,3457 days,4018,0,561,3457,0,False,True,Hampstead
216195063,24581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
216196063,24683,24683,00159001100005,E09000007,Camden,Inner London - West,BST & GND FS 11,FLASK WALK,LONDON,NW3 1HJ,Shops,249,Retail High Street,Retail,38.6,25000.0,2017-04-01 00:00:00+00:00,2017,2021-03,12475.0,ATELIER ART LIMITED,0.0,False,2012-04-23,3265.0,True,5109714,,C,,526439.0,185769.0,51.5566456,-0.1775379,1,,,,,,,,11.0,,,,,20400159,,N,,,osgb4000000030455447,6,osgb1000004341034,3,216196063.0,FLASK WALK,,,LONDON,CAMDEN,,,NW3 1HJ,,,L,E05000135,,1,CS,249.0,POINT (526440.754143498 185769.3092224062),2012-04-23 00:00:00,216196063,2021-04-01,3265,2010-04-01,753 days,4018,0,3265,753,0,False,True,Hampstead
220283063,12387,12387,00069008310011,E09000007,Camden,Inner London - West,GRD F 83,HEATH STREET,LONDON,NW3 6UG,Shops,249,Retail High Street,Retail,43.5,18000.0,2010-02-26 00:00:00+00:00,2010,2016-03,8640.0,TINC LTD,0.0,False,2015-05-30,307.0,True,5007641,17696155.0,CR08,,526369.0,185867.0,51.557542,-0.1785119,2,SOLA KITCHENS LTD,,,83.0,,,,83.0,,,,,20499121,,N,osgb1000002298983689,7.0,osgb4000000030330254,4,osgb1000004340725,3,220283063.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 6UG,NW3 6UG,S,1L,D,E05000135,2012-03-19,0,CS,249.0,POINT (526370.7531600387 185867.3114404751),2015-05-30 00:00:00,220283063,2016-04-01,307,2010-04-01,1885 days,2192,1,307,1885,0,False,True,Hampstead
259607000,21183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
272838000,338863,338863,0006900821001B,E09000007,Camden,Inner London - West,BST & GND FS 82,HEATH STREET,LONDON,NW3 1DN,Shops,249,Retail High Street,Retail,121.59,37000.0,2012-12-03 00:00:00+00:00,2010,2016-09,17908.0,THE HUNDRED ACRES LTD,0.0,False,2016-03-01,214.0,True,5064041,17679817.0,CR08,,526382.0,185895.0,51.5577907,-0.1783145,1,,,,82.0,,,,82.0,,,,,20499121,,N,osgb1000002298675808,15.0,osgb4000000030330254,4,osgb1000004340579,4,272838000.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1DN,NW3 1DN,S,1L,D,E05000135,2012-03-19,1,CS,249.0,POINT (526383.7479647179 185895.3089227435),2016-03-01 00:00:00,272838000,2016-10-01,214,2010-04-01,2161 days,2375,1,214,2161,0,False,True,Hampstead
960725000,11695,11695,00069005801008,E09000007,Camden,Inner London - West,GND & 1ST FS UNIT 1 AT 58-62,HEATH STREET,LONDON,NW3 1EN,Shops,249,Retail High Street,Retail,222.1,93500.0,2017-04-01 00:00:00+00:00,2017,2019-03,46095.5,BISHOPSGATE LONG TERM PROPERTY FUND NOMI,0.0,False,2017-06-01,669.0,True,5123938,52549162.0,CR08,5087817.0,526403.0,185820.0,51.557112,-0.1780386,1,KNIGHT FRANK LLP,UNIT 1,KINGSWELL 58-62,,,,SHOP AND PREMISES AT GROUND AND 1ST FLOOR UNIT 1,58.0,,62.0,,KINGSWELL,20499121,,N,osgb5000005100790431,6.0,osgb4000000030455447,6,osgb1000004340700,3,960725000.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1EN,NW3 1EN,S,3F,D,E05000135,2012-03-19,0,CS,249.0,POINT (526404.7532219553 185820.3104874495),2017-06-01 00:00:00,960725000,2019-04-01,669,2010-04-01,2618 days,3287,1,669,2618,0,False,True,Hampstead
961157000,11708,11708,0006900580200B,E09000007,Camden,Inner London - West,BST & GND FS UNIT 2 AT 58-62,HEATH STREET,LONDON,NW3 1EN,Restaurants,234,Retail Restaurants & Cafes,Retail,461.18,123000.0,2010-04-01 00:00:00+00:00,2010,2011-06,53259.0,PDPF GP LIMITED,63751.52,False,2010-04-01,456.0,True,5123939,52660552.0,CR07,5087817.0,526403.0,185820.0,51.557112,-0.1780386,1,WAGAMAMA,UNIT 2,KINGSWELL 58-62,,,,RESTAURANT AND PREMISES AT BASEMENT AND GORUND FLOOR UNIT 2,58.0,,62.0,,KINGSWELL,20499121,,N,osgb5000005102145764,5.0,osgb4000000030455447,6,osgb1000004340700,3,961157000.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1EN,NW3 1EN,S,3G,D,E05000135,2012-03-19,0,CR,234.0,POINT (526404.7532219553 185820.3104874495),2010-04-01 00:00:00,961157000,2011-07-01,456,2010-04-01,0 days,456,1,456,0,0,False,True,Hampstead
1145520000,12203,12203,00069007600014,E09000007,Camden,Inner London - West,BST & GND FLRS 76,HEATH STREET,LONDON,NW3 1DN,Restaurants,234,Retail Restaurants & Cafes,Retail,308.05,95500.0,2010-04-01 00:00:00+00:00,2010,2014-03,44980.5,MAXWELLS RESTAURANTS LTD,0.0,False,2010-04-01,1461.0,True,5062945,17679813.0,C,,526388.0,185878.0,51.5576366,-0.1782341,2,,,,76.0,,,,76.0,,,,,20499121,,N,osgb1000002298959765,10.0,osgb4000000030330254,4,osgb1000004340692,6,1145520000.0,HEATH STREET,,HEATH STREET,LONDON,CAMDEN,LONDON,NW3 1DN,NW3 1DN,S,1G,D,E05000135,2012-03-19,1,CR,234.0,POINT (526389.748058851 185878.3110501765),2010-04-01 00:00:00,1145520000,2014-04-01,1461,2010-04-01,0 days,1461,1,1461,0,0,False,True,Hampstead
2329962000,43666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampstead
