,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
96707063,53984,53984,00350018700003,E09000007,Camden,Inner London - West,187,QUEENS CRESCENT,LONDON,NW5 4DS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,61.96,7400.0,2017-04-01 00:00:00+00:00,2017,2021-03,3692.6,LBC - RK20NCE020,0.0,False,2012-07-11,3186.0,True,5070765,17720525.0,C,,528351.0,185160.0,51.5507414,-0.1501951,2,,,,187.0,,,,187.0,,,,,20400350,,N,osgb1000002298778179,13.0,osgb4000000030250530,5,osgb1000005305004,5,96707063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1P,D,E05000134,2012-03-19,0,IF3,96.0,POINT (528352.7798107177 185160.3188956882),2012-07-11 00:00:00,96707063,2021-04-01,3186,2010-04-01,832 days,4018,0,3186,832,0,False,True,Queens
96710063,52400,52400,00350007200003,E09000007,Camden,Inner London - West,72,QUEENS CRESCENT,LONDON,NW5 4EE,Shops,249,Retail High Street,Retail,100.4,13500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6736.5,WELSAS INVESTMENTS LTD,0.0,False,2010-04-01,4018.0,True,5042557,17720571.0,CR,,528217.0,185012.0,51.5494417,-0.1521806,2,THE BREAD SHOP,,,72.0,,,,72.0,,,,,20400350,,N,osgb1000002298772198,10.0,osgb4000000030153134,5,osgb1000005305151,7,96710063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4EE,NW5 4EE,S,1J,D,E05000136,2012-03-19,0,CS,249.0,POINT (528218.7772376116 185012.3070974988),2010-04-01 00:00:00,96710063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,0,False,True,Queens
96712063,54072,54072,00350019130016,E09000007,Camden,Inner London - West,STORE A R/O 191-201,QUEENS CRESCENT,LONDON,NW5 4DS,Stores,268,Retail High Street,Retail,14.7,1700.0,2017-04-01 00:00:00+00:00,2017,2021-03,848.3,LBC - RK20NCE020,0.0,False,2017-04-12,1450.0,True,5125807,17720508.0,CI04,5110252.0,528353.0,185182.0,51.5509386,-0.15015820000000002,1,,UNIT A,,203.0,,,STORE A,,,,,STORES REAR OF 191-201,20400350,,N,osgb1000002298778181,12.0,osgb5000005152442966,0,osgb1000005304997,2,96712063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1Y,D,E05000134,2012-03-19,0,CW3,268.0,POINT (528354.7834725042 185182.3131165379),2017-04-12 00:00:00,96712063,2021-04-01,1450,2010-04-01,2568 days,4018,0,1450,2568,0,False,True,Queens
96716063,54116,54116,00350019130054,E09000007,Camden,Inner London - West,STORE E R/O 191-201,QUEENS CRESCENT,LONDON,NW5 4DS,Stores,268,Retail High Street,Retail,14.7,1700.0,2017-04-01 00:00:00+00:00,2017,2021-03,848.3,LBC G26200623140,0.0,False,2017-06-20,1381.0,True,5125811,17720510.0,CI04,5110252.0,528353.0,185182.0,51.5509386,-0.15015820000000002,1,,UNIT E,,203.0,,,STORE E,,,,,STORES REAR OF 191-201,20400350,,N,osgb1000002298778185,11.0,osgb5000005152442966,0,osgb1000005304997,2,96716063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,2E,D,E05000134,2012-03-19,0,CW3,268.0,POINT (528354.7834725042 185182.3131165379),2017-06-20 00:00:00,96716063,2021-04-01,1381,2010-04-01,2637 days,4018,0,1381,2637,0,False,True,Queens
96718063,54160,54160,00350019130073,E09000007,Camden,Inner London - West,STORE G R/O 191-201,QUEENS CRESCENT,LONDON,NW5 4DS,Stores,268,Retail High Street,Retail,14.7,1700.0,2017-04-01 00:00:00+00:00,2017,2021-03,848.3,LBC - RK20NCE020,0.0,False,2012-07-11,3186.0,True,5125813,17720512.0,CI04,5110252.0,528353.0,185182.0,51.5509386,-0.15015820000000002,1,,UNIT G,,203.0,,,STORE G,,,,,STORES REAR OF 191-201,20400350,,N,osgb1000002298778183,11.0,osgb5000005152442966,0,osgb1000005304997,2,96718063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,2G,D,E05000134,2012-03-19,0,CW3,268.0,POINT (528354.7834725042 185182.3131165379),2012-07-11 00:00:00,96718063,2021-04-01,3186,2010-04-01,832 days,4018,0,3186,832,0,False,False,Queens
96723063,54240,54240,00350019130124,E09000007,Camden,Inner London - West,STORE M R/O 191-201,QUEENS CRESCENT,LONDON,NW5 4DS,Stores,268,Retail High Street,Retail,14.7,1700.0,2017-04-01 00:00:00+00:00,2017,2019-03,816.0,LBC - RK20NCE020,0.0,False,2011-01-25,2988.0,True,5125818,,CI04,5110252.0,528353.0,185182.0,51.5509386,-0.15015820000000002,1,,,,,,,STORE M,,,,,STORES REAR OF 191-201,20400350,,N,,,osgb5000005152442966,0,osgb1000005304997,2,96723063.0,QUEEN'S CRESCENT,,,LONDON,CAMDEN,,,NW5 4DS,,,L,E05000134,,0,CW3,268.0,POINT (528354.7834725042 185182.3131165379),2011-01-25 00:00:00,96723063,2019-04-01,2988,2010-04-01,299 days,3287,1,2988,299,0,False,False,Queens
96726063,54312,54312,0035001950000A,E09000007,Camden,Inner London - West,195,QUEENS CRESCENT,LONDON,NW5 4DS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,78.3,7800.0,2010-04-01 00:00:00+00:00,2010,2015-03,3673.8,LBC - RK20NCE020,0.0,False,2010-10-26,1618.0,True,5127221,,C,,528351.0,185160.0,51.5507414,-0.1501951,2,,,,,,,,195.0,,,,,20400350,,N,,,osgb4000000030250530,5,osgb1000005305004,5,96726063.0,QUEEN'S CRESCENT,,,LONDON,CAMDEN,,,NW5 4DS,,,L,E05000134,,0,IF3,96.0,POINT (528352.7798107177 185160.3188956882),2010-10-26 00:00:00,96726063,2015-04-01,1618,2010-04-01,208 days,1826,1,1618,208,0,False,True,Queens
96730063,54468,54468,0035002010000A,E09000007,Camden,Inner London - West,201,QUEENS CRESCENT,LONDON,NW5 4DS,Shops,249,Retail High Street,Retail,67.3,11250.0,2017-04-01 00:00:00+00:00,2017,2021-03,5613.75,KANI LIMITED,0.0,False,2013-01-08,3005.0,True,5070766,17720527.0,C,,528351.0,185160.0,51.5507414,-0.1501951,2,PRESTIGE DRY CLEANERS,,,201.0,,,,201.0,,,,,20400350,,N,osgb1000002298778180,13.0,osgb4000000030250530,5,osgb1000005305004,5,96730063.0,QUEEN'S CRESCENT,,QUEENS CRESCENT,LONDON,CAMDEN,LONDON,NW5 4DS,NW5 4DS,S,1X,D,E05000134,2012-03-19,0,CS,249.0,POINT (528352.7798107177 185160.3188956882),2013-01-08 00:00:00,96730063,2021-04-01,3005,2010-04-01,1013 days,4018,0,3005,1013,0,False,True,Queens
96761063,53104,53104,00350012039991,E09000007,Camden,Inner London - West,STORE F R/O WEDMORE,QUEENS CRESCENT,LONDON,NW5 4DT,Stores,268,Retail High Street,Retail,17.4,2025.0,2017-04-01 00:00:00+00:00,2017,2021-03,1010.475,LBC - RK20NCE020,0.0,False,2015-03-04,2220.0,True,5144579,,CI04,5105673.0,528345.0,185103.0,51.5502305,-0.1503023,2,,,,,,,STORE F,,,,,WEDMORE,20400350,,N,,,osgb4000000030603030,4,osgb1000005305017,2,96761063.0,QUEEN'S CRESCENT,,,LONDON,CAMDEN,,,NW5 4DT,,,L,E05000136,,0,CW3,268.0,POINT (528346.7844021126 185103.3165806071),2015-03-04 00:00:00,96761063,2021-04-01,2220,2010-04-01,1798 days,4018,0,2220,1798,0,False,False,Queens
96766063,52972,52972,00350012009996,E09000007,Camden,Inner London - West,STORE B R/O WEDMORE,QUEENS CRESCENT,LONDON,NW5 4DT,Stores,268,Retail High Street,Retail,17.4,2025.0,2017-04-01 00:00:00+00:00,2017,2021-03,1010.475,LBC - RK20NCE020,0.0,False,2010-09-21,3845.0,True,5144575,,CI04,5105673.0,528345.0,185103.0,51.5502305,-0.1503023,2,,,,,,,STORE B,,,,,WEDMORE,20400350,,N,,,osgb4000000030603030,4,osgb1000005305017,2,96766063.0,QUEEN'S CRESCENT,,,LONDON,CAMDEN,,,NW5 4DT,,,L,E05000136,,0,CW3,268.0,POINT (528346.7844021126 185103.3165806071),2010-09-21 00:00:00,96766063,2021-04-01,3845,2010-04-01,173 days,4018,0,3845,173,0,False,True,Queens
