,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
3937173000,119752,119752,00733010200018,E09000007,Camden,Inner London - West,GND FLR 102,PARKWAY,LONDON,NW1 7AN,Shops,249,Retail High Street,Retail,20.4,19250.0,2017-04-01 00:00:00+00:00,2017,2021-03,9605.75,OLYMPYX LIMITED,2157.88,True,2011-10-01,3470.0,True,5034014,,C,,528695.0,183675.0,51.5373175,-0.14577920000000005,1,,,,,,,,102.0,,,,,20400733,,N,,,osgb4000000030250299,3,osgb1000005297410,4,3937173000.0,PARKWAY,,,LONDON,CAMDEN,,,NW1 7AN,,,L,E05000130,,4,CS,249.0,POINT (528696.770537711 183675.2751488228),2011-10-01 00:00:00,3937173000,2021-04-01,3470,2010-04-01,548 days,4018,0,3470,548,1,False,True,CamdenT
3944334000,116147,116147,0072500080000A,E09000007,Camden,Inner London - West,8,INVERNESS STREET,LONDON,NW1 7HJ,Shops,249,Retail High Street,Retail,24.6,22250.0,2017-04-01 00:00:00+00:00,2017,2021-03,11102.75,3944334000,,True,2017-04-01,,True,5007470,17647259.0,CR08,,528817.0,183943.0,51.539698200000004,-0.1439231,1,NIKITS,,,8.0,,,,8.0,,,,,20400725,,N,osgb1000002298767726,12.0,osgb4000000030250344,6,osgb1000005297613,4,3944334000.0,INVERNESS STREET,,INVERNESS STREET,LONDON,CAMDEN,LONDON,NW1 7HJ,NW1 7HJ,S,1S,D,E05000130,2012-03-19,1,CS,249.0,POINT (528818.7740505084 183943.283008581),2017-04-01 00:00:00,3944334000,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,CamdenT
3954992000,120673,120673,00737005300016,E09000007,Camden,Inner London - West,53A,BAYHAM STREET,LONDON,NW1 0AA,Offices (Inc Computer Centres),203,Office General,Office,124.1,49500.0,2017-04-01 00:00:00+00:00,2017,2020-06,24700.5,FOREVER FASHION LTD,10745.85,True,2010-04-01,3744.0,True,5087516,17630243.0,CR08,,529135.0,183622.0,51.5367409,-0.139458,1,FOREVER FASHIONS LTD,,53A,,,,,53.0,A,,,,20400737,,N,osgb1000002298946168,10.0,osgb5000005152504828,0,osgb1000005432444,6,3954992000.0,BAYHAM STREET,,BAYHAM STREET,LONDON,CAMDEN,LONDON,NW1 0AA,NW1 0AA,S,1P,D,E05000142,2012-03-19,0,CO,203.0,POINT (529136.775559264 183622.2844843936),2010-04-01 00:00:00,3954992000,2020-07-01,3744,2010-04-01,0 days,3744,1,3744,0,1,False,True,CamdenT
3984933000,116763,116763,00726012212814,E09000007,Camden,Inner London - West,GND F 122-128,ARLINGTON ROAD,LONDON,NW1 7HP,Offices (Inc Computer Centres),203,Office General,Office,177.8,64500.0,2017-04-01 00:00:00+00:00,2017,2021-03,33024.0,FUNKIN LIMITED,4841.63,True,2014-01-24,2624.0,True,5144662,17647286.0,CR,5086951.0,528906.0,183698.0,51.5374761,-0.14273010000000005,2,THE BOUNDARY,,122-128,,,,GROUND FLOOR,122.0,,128.0,,,20400726,,N,osgb1000002298767259,11.0,osgb5000005156547957,1,osgb1000005297188,3,3984933000.0,ARLINGTON ROAD,,ARLINGTON ROAD,LONDON,CAMDEN,LONDON,NW1 7HP,NW1 7HP,S,4U,D,E05000130,2012-03-19,0,CO,203.0,POINT (528907.7774972429 183698.2758857643),2014-01-24 00:00:00,3984933000,2021-04-01,2624,2010-04-01,1394 days,4018,0,2624,1394,1,False,True,CamdenT
4139156000,59283,59283,00363001012018,E09000007,Camden,Inner London - West,GND F 10-12,KENTISH TOWN ROAD,LONDON,NW1 9NX,Restaurants,234,Retail Restaurants & Cafes,Retail,171.17,76500.0,2010-04-01 00:00:00+00:00,2010,2014-12,36873.0,D & A RESTAURANT LIMITED,26812.8,True,2010-04-01,1736.0,True,5057423,17654380.0,C,,528940.0,183948.0,51.5397151,-0.1421486,2,,,,10.0,,,,10.0,,12.0,,,20400363,,N,osgb1000002298767762,14.0,osgb4000000030153051,4,osgb1000005297295,4,4139156000.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 9NX,NW1 9NX,S,1B,D,E05000130,2012-03-19,0,CR,234.0,POINT (528941.7812337852 183948.2859246748),2010-04-01 00:00:00,4139156000,2015-01-01,1736,2010-04-01,0 days,1736,1,1736,0,1,False,True,CamdenT
4139156000,59291,59291,00363001012018,E09000007,Camden,Inner London - West,GND F 10-12,KENTISH TOWN ROAD,LONDON,NW1 9NX,Restaurants,234,Retail Restaurants & Cafes,Retail,171.17,76500.0,2010-04-01 00:00:00+00:00,2010,2016-12,38020.5,MAN GO 2 LIMITED - DISSOLVED,18857.25,True,2015-10-01,458.0,True,5057423,17654380.0,C,,528940.0,183948.0,51.5397151,-0.1421486,2,,,,10.0,,,,10.0,,12.0,,,20400363,,N,osgb1000002298767762,14.0,osgb4000000030153051,4,osgb1000005297295,4,4139156000.0,KENTISH TOWN ROAD,,KENTISH TOWN ROAD,LONDON,CAMDEN,LONDON,NW1 9NX,NW1 9NX,S,1B,D,E05000130,2012-03-19,0,CR,234.0,POINT (528941.7812337852 183948.2859246748),2015-10-01 00:00:00,4139156000,2017-01-01,458,2010-04-01,2009 days,2467,1,458,2009,1,False,True,CamdenT
4166966000,116939,116939,00726019900011,E09000007,Camden,Inner London - West,BST-1ST FLRS CAMDEN HOUSE 199-199A,ARLINGTON ROAD,LONDON,NW1 7HA,Offices (Inc Computer Centres),203,Office General,Office,649.17,189000.0,2017-04-01 00:00:00+00:00,2017,2021-03,96768.0,NATIONALOFFENDER MANAGMENT SERVICES,47040.24,True,2010-04-01,4018.0,True,5043996,,C,,528761.0,183878.0,51.5391268,-0.1447539,2,,,,,,,,199.0,,,,CAMDEN HOUSE,20400726,,N,,,osgb4000000030250340,4,osgb1000005297452,5,4166966000.0,ARLINGTON ROAD,,,LONDON,CAMDEN,,,NW1 7HA,,,L,E05000130,,31,CO,203.0,POINT (528762.7726023092 183878.2795345709),2010-04-01 00:00:00,4166966000,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,CamdenT
4226962000,119840,119840,00733010400011,E09000007,Camden,Inner London - West,GND FLR 104,PARKWAY,LONDON,NW1 7AN,Shops,249,Retail High Street,Retail,63.9,28000.0,2017-04-01 00:00:00+00:00,2017,2021-03,13972.0,4226962000,,True,2017-04-01,,True,5019867,17646486.0,CR02,,528692.0,183671.0,51.537282299999994,-0.1458239,2,SMART DRY CLEANERS,,,104.0,,,,104.0,,,,,20400733,,N,osgb1000002298767051,10.0,osgb4000000030250299,3,osgb5000005156542839,1,4226962000.0,PARKWAY,,PARKWAY,LONDON,CAMDEN,LONDON,NW1 7AN,NW1 7AN,S,1D,D,E05000130,2012-03-19,2,CS,249.0,POINT (528693.7698059183 183671.2821939997),2017-04-01 00:00:00,4226962000,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,CamdenT
4236716000,401733,401733,00624007879005,E09000007,Camden,Inner London - West,BARTOK 78-79,CHALK FARM ROAD,LONDON,NW1 8AR,Public Houses/Pub Restaurants (National Scheme),226,Retail Restaurants & Cafes,Retail,261.80768079507004,72000.0,2017-04-01 00:00:00+00:00,2017,2021-03,36864.0,WHISKY AND MILK LTD,9811.71,True,2011-06-15,3578.0,True,5083232,17648921.0,CR08,,528282.0,184365.0,51.5436124,-0.1514794,1,JOES,,78-79,,,,,78.0,,79.0,,,20400624,,N,osgb1000002298774750,15.0,osgb4000000030250468,5,osgb1000005301980,3,4236716000.0,CHALK FARM ROAD,,CHALK FARM ROAD,LONDON,CAMDEN,LONDON,NW1 8AR,NW1 8AR,S,1E,D,E05000136,2012-03-19,0,CL,226.0,POINT (528283.7738616874 184365.2914910889),2011-06-15 00:00:00,4236716000,2021-04-01,3578,2010-04-01,440 days,4018,0,3578,440,1,False,True,CamdenT
4307745000,93878,93878,00616007173005,E09000007,Camden,Inner London - West,BST & GND FLRS 71-73,GLOUCESTER AVENUE,LONDON,NW1 8LD,Shops,249,Retail High Street,Retail,126.3,54500.0,2017-04-01 00:00:00+00:00,2017,2018-09,26868.5,COLOURWASH LTD,11147.76,True,2010-04-01,3105.0,True,5142227,17650571.0,CR08,,528303.0,183991.0,51.5402465,-0.151313,1,,,71-73,,,,,71.0,,73.0,,,20499040,,N,osgb1000002298896847,15.0,osgb4000000030355017,4,osgb1000005297879,3,4307745000.0,GLOUCESTER AVENUE,,GLOUCESTER AVENUE,LONDON,CAMDEN,LONDON,NW1 8LD,NW1 8LD,S,1D,D,E05000130,2012-03-19,0,CS,249.0,POINT (528304.7711216531 183991.2803699697),2010-04-01 00:00:00,4307745000,2018-10-01,3105,2010-04-01,0 days,3105,1,3105,0,1,False,True,CamdenT
4307745000,93888,93888,00616007173005,E09000007,Camden,Inner London - West,BST & GND FLRS 71-73,GLOUCESTER AVENUE,LONDON,NW1 8LD,Shops,249,Retail High Street,Retail,126.3,54500.0,2017-04-01 00:00:00+00:00,2017,2021-03,27904.0,MANDARIN SLATE LIMITED,3731.35,True,2019-01-21,801.0,True,5142227,17650571.0,CR08,,528303.0,183991.0,51.5402465,-0.151313,1,,,71-73,,,,,71.0,,73.0,,,20499040,,N,osgb1000002298896847,15.0,osgb4000000030355017,4,osgb1000005297879,3,4307745000.0,GLOUCESTER AVENUE,,GLOUCESTER AVENUE,LONDON,CAMDEN,LONDON,NW1 8LD,NW1 8LD,S,1D,D,E05000130,2012-03-19,0,CS,249.0,POINT (528304.7711216531 183991.2803699697),2019-01-21 00:00:00,4307745000,2021-04-01,801,2010-04-01,3217 days,4018,0,801,3217,1,False,True,CamdenT
4319754000,122856,122856,00738000600019,E09000007,Camden,Inner London - West,GND & 1ST FLRS 6,GREENLAND PLACE,LONDON,NW1 0AP,Offices (Inc Computer Centres),203,Office General,Office,336.0,96000.0,2010-04-01 00:00:00+00:00,2010,2016-03,47328.0,EMC COMPUTER SYSTEMS (U.K.) LTD,35886.25,True,2010-04-01,2192.0,True,5159320,54752137.0,CO01,5016610.0,528963.0,183814.0,51.5385056,-0.14186629999999995,2,S C P R LTD,,,6.0,,,OFFICES AND PREMISES AT GROUND AND 1ST FLOOR,6.0,,,,,20400738,,N,,,osgb4000000030355027,2,osgb1000005297262,4,4319754000.0,GREENLAND PLACE,,GREENLAND PLACE,LONDON,CAMDEN,LONDON,NW1 0AP,NW1 0AP,S,2D,D,E05000130,2017-04-29,0,CO,203.0,POINT (528964.7739113963 183814.2816862327),2010-04-01 00:00:00,4319754000,2016-04-01,2192,2010-04-01,0 days,2192,1,2192,0,1,False,True,CamdenT
4319754000,122876,122876,00738000600019,E09000007,Camden,Inner London - West,GND & 1ST FLRS 6,GREENLAND PLACE,LONDON,NW1 0AP,Offices (Inc Computer Centres),203,Office General,Office,336.0,135000.0,2017-04-01 00:00:00+00:00,2017,2021-03,69120.0,CREATIVE DESIGN INDUSTRIES LIMITED,18561.93,True,2016-11-10,1603.0,True,5159320,54752137.0,CO01,5016610.0,528963.0,183814.0,51.5385056,-0.14186629999999995,2,S C P R LTD,,,6.0,,,OFFICES AND PREMISES AT GROUND AND 1ST FLOOR,6.0,,,,,20400738,,N,,,osgb4000000030355027,2,osgb1000005297262,4,4319754000.0,GREENLAND PLACE,,GREENLAND PLACE,LONDON,CAMDEN,LONDON,NW1 0AP,NW1 0AP,S,2D,D,E05000130,2017-04-29,0,CO,203.0,POINT (528964.7739113963 183814.2816862327),2016-11-10 00:00:00,4319754000,2021-04-01,1603,2010-04-01,2415 days,4018,0,1603,2415,1,False,True,CamdenT
4323162000,97913,97913,00624005100002,E09000007,Camden,Inner London - West,GND FLR 51,CHALK FARM ROAD,LONDON,NW1 8AN,Shops,249,Retail High Street,Retail,73.7,18750.0,2009-10-09 00:00:00+00:00,2010,2015-12,9000.0,4323162000,,True,2010-04-01,,True,5142114,28430886.0,CR08,,528427.0,184321.0,51.54318410000001,-0.1494056,2,MINHA CASA LTD,,,51.0,,,,51.0,,,,,20400624,,N,osgb1000002298919765,16.0,osgb4000000031298854,1,osgb1000001787307510,3,4323162000.0,CHALK FARM ROAD,,CHALK FARM ROAD,LONDON,CAMDEN,LONDON,NW1 8AN,NW1 8AN,S,5B,D,E05000136,2012-03-19,1,CS,249.0,POINT (528428.7767900849 184321.2983968414),2010-04-01,4323162000,2016-01-01,2101,2010-04-01,0 days,2101,1,2101,0,1,False,True,CamdenT
4323162000,97934,97934,00624005100002,E09000007,Camden,Inner London - West,GND FLR 51,CHALK FARM ROAD,LONDON,NW1 8AN,Shops,249,Retail High Street,Retail,73.7,29000.0,2017-04-01 00:00:00+00:00,2017,2021-03,14471.0,SPREAD A SMILE,1526.74,True,2016-06-06,1760.0,True,5142114,28430886.0,CR08,,528427.0,184321.0,51.54318410000001,-0.1494056,2,MINHA CASA LTD,,,51.0,,,,51.0,,,,,20400624,,N,osgb1000002298919765,16.0,osgb4000000031298854,1,osgb1000001787307510,3,4323162000.0,CHALK FARM ROAD,,CHALK FARM ROAD,LONDON,CAMDEN,LONDON,NW1 8AN,NW1 8AN,S,5B,D,E05000136,2012-03-19,1,CS,249.0,POINT (528428.7767900849 184321.2983968414),2016-06-06 00:00:00,4323162000,2021-04-01,1760,2010-04-01,2258 days,4018,0,1760,2258,1,False,True,CamdenT
4398727000,125754,125754,00747008600003,E09000007,Camden,Inner London - West,86,PLENDER STREET,LONDON,NW1 0JN,Shops,249,Retail High Street,Retail,45.42,16000.0,2010-04-01 00:00:00+00:00,2010,2014-09,7536.0,VICTORSTONE COMMERCIAL LTD,2369.49,True,2013-04-08,541.0,True,5020034,28705803.0,P,,529188.0,183545.0,51.5360368,-0.1387225,1,,,86A,,,,,86.0,A,,,,20400747,,N,osgb1000002298929491,8.0,osgb4000000030153054,2,osgb1000005432468,4,4398727000.0,PLENDER STREET,,PLENDER STREET,LONDON,CAMDEN,LONDON,NW1 0JN,NW1 0JN,S,1H,D,E05000142,2012-03-19,1,CS,249.0,POINT (529189.7750315805 183545.2831470504),2013-04-08 00:00:00,4398727000,2014-10-01,541,2010-04-01,1103 days,1644,1,541,1103,1,False,True,CamdenT
4398727000,125761,125761,00747008600003,E09000007,Camden,Inner London - West,86,PLENDER STREET,LONDON,NW1 0JN,Shops,249,Retail High Street,Retail,45.42,16000.0,2010-04-01 00:00:00+00:00,2010,2016-06,7744.0,TONY ALAN INVESTMENTS LTD,2498.24,True,2014-12-01,578.0,True,5020034,28705803.0,P,,529188.0,183545.0,51.5360368,-0.1387225,1,,,86A,,,,,86.0,A,,,,20400747,,N,osgb1000002298929491,8.0,osgb4000000030153054,2,osgb1000005432468,4,4398727000.0,PLENDER STREET,,PLENDER STREET,LONDON,CAMDEN,LONDON,NW1 0JN,NW1 0JN,S,1H,D,E05000142,2012-03-19,1,CS,249.0,POINT (529189.7750315805 183545.2831470504),2014-12-01 00:00:00,4398727000,2016-07-01,578,2010-04-01,1705 days,2283,1,578,1705,1,False,True,CamdenT
4398727000,125767,125767,00747008600003,E09000007,Camden,Inner London - West,86,PLENDER STREET,LONDON,NW1 0JN,Shops,249,Retail High Street,Retail,45.42,21250.0,2017-04-01 00:00:00+00:00,2017,2017-12,9902.5,ALTERNA LTD,4115.99,True,2016-09-19,469.0,True,5020034,28705803.0,P,,529188.0,183545.0,51.5360368,-0.1387225,1,,,86A,,,,,86.0,A,,,,20400747,,N,osgb1000002298929491,8.0,osgb4000000030153054,2,osgb1000005432468,4,4398727000.0,PLENDER STREET,,PLENDER STREET,LONDON,CAMDEN,LONDON,NW1 0JN,NW1 0JN,S,1H,D,E05000142,2012-03-19,1,CS,249.0,POINT (529189.7750315805 183545.2831470504),2016-09-19 00:00:00,4398727000,2018-01-01,469,2010-04-01,2363 days,2832,1,469,2363,1,False,True,CamdenT
4398727000,125780,125780,00747008600003,E09000007,Camden,Inner London - West,86,PLENDER STREET,LONDON,NW1 0JN,Shops,249,Retail High Street,Retail,45.42,21250.0,2017-04-01 00:00:00+00:00,2017,2021-03,10603.75,CARAMELLA CAFE & BAKERY LTD,2861.15,True,2019-11-01,517.0,True,5020034,28705803.0,P,,529188.0,183545.0,51.5360368,-0.1387225,1,,,86A,,,,,86.0,A,,,,20400747,,N,osgb1000002298929491,8.0,osgb4000000030153054,2,osgb1000005432468,4,4398727000.0,PLENDER STREET,,PLENDER STREET,LONDON,CAMDEN,LONDON,NW1 0JN,NW1 0JN,S,1H,D,E05000142,2012-03-19,1,CS,249.0,POINT (529189.7750315805 183545.2831470504),2019-11-01 00:00:00,4398727000,2021-04-01,517,2010-04-01,3501 days,4018,0,517,3501,1,False,True,CamdenT
