borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Camden,https://www.btplc.com/Thegroup/BTsHistory/BTgrouparchives/index.htm,BT Archives,5086502,E09000007,3rd Floor Holborn Telephone Exchange ,268-270 High Holborn,,Holborn and Covent Garden,E05000138,-0.1167581555681674,530541.4856292553,51.517610851099796,181642.91971003113,Camden,Archives,E09000007,09/05/2021
Camden,http://www.royalafricansociety.org/,Royal African Society,5086881,E09000007,School of Oriental and African Studies,Thornhaugh Street,Russell Square,Bloomsbury,E05000129,-0.12923340561441668,529662.6886171559,51.52235178742337,182147.81392777245,Camden,Archives,E09000007,09/05/2021
Camden,https://www.soas.ac.uk/,London University: School of Oriental and African Studies (SOAS),5086881,E09000007,Archives & Special Collections ,10 Thornhaugh Street Russell Square,,Bloomsbury,E05000129,-0.12923340561441668,529662.6886171559,51.52235178742337,182147.81392777245,Camden,Archives,E09000007,09/05/2021
Camden,http://www.lawcentres.org.uk/,Law Centres Federation,5087095,E09000007,Duchess House,18-19 Warren Street,,Bloomsbury,E05000129,-0.1395757574453673,528940.8512548956,51.523955087812595,182307.77333152108,Camden,Archives,E09000007,09/05/2021
Camden,https://dickensmuseum.com/,Charles Dickens Museum,5087477,E09000007,48 Doughty Street,,,Holborn and Covent Garden,E05000138,-0.11623704537650739,530560.4890441331,51.52360065376998,182309.7995172878,Camden,Archives,E09000007,09/05/2021
Camden,https://ials.sas.ac.uk/,London University: Institute of Advanced Legal Studies,5087791,E09000007,Charles Clore House ,17 Russell Square,,Bloomsbury,E05000129,-0.12742605363898096,529787.660832302,51.52248482304691,182165.8127473081,Camden,Archives,E09000007,09/05/2021
Camden,http://freemasonry.london.museum/,Library and Museum of Freemasonry,5087804,E09000007,Freemasons' Hall ,60 Great Queen Street,,Holborn and Covent Garden,E05000138,-0.12111097930083217,530246.5473576327,51.51516267861943,181362.96633538953,Camden,Archives,E09000007,09/05/2021
Camden,https://www.fmb.org.uk/,Federation of Master Builders,5087806,E09000007,Gordon Fisher House ,14-15 Great James Street,,Holborn and Covent Garden,E05000138,-0.11683503488182853,530524.4946762342,51.5216858049899,182095.83762431378,Camden,Archives,E09000007,09/05/2021
Camden,https://royalasiaticsociety.org/,Royal Asiatic Society,5087912,E09000007,14 Stephenson Way,,,Regent's Park,E05000142,-0.13543511856828291,529220.793606435,51.52650623018933,182598.72419329692,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ghil.ac.uk/home.html,German Historical Institute London,5087926,E09000007,17 Bloomsbury Square,,,Holborn and Covent Garden,E05000138,-0.123969462156409,530037.5996552492,51.51890444480327,181773.88811126509,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/ioe/,London University: Institute of Education,5087943,E09000007,Newsam Library and Archives ,20 Bedford Way,,Bloomsbury,E05000129,-0.12793915537557202,529750.6698846956,51.52297861917411,182219.80227731762,Camden,Archives,E09000007,09/05/2021
Camden,https://www.ucl.ac.uk/archaeology,London University: Institute of Archaeology,5087993,E09000007,University of London ,31-34 Gordon Square,,Bloomsbury,E05000129,-0.1316221883179135,529489.7315355274,51.52491680898166,182428.75962239632,Camden,Archives,E09000007,09/05/2021
Camden,https://www.therai.org.uk/,Royal Anthropological Institute of Great Britain and Ireland,5088048,E09000007,50 Fitzroy Street,,,Bloomsbury,E05000129,-0.13981102205204773,528924.8545822139,51.5238419134243,182294.77551796293,Camden,Archives,E09000007,09/05/2021
Camden,https://beerandbrewing.com/dictionary/iu1zbv4d6L/,International Brewers Guild,5088098,E09000007,8 Ely Place Holborn,,,Holborn and Covent Garden,E05000138,-0.10724526013144678,531199.3389504974,51.51830307716349,181736.9142824827,Camden,Archives,E09000007,09/05/2021
Camden,https://www.rcpch.ac.uk/,Royal College of Paediatrics and Child Health,5088266,E09000007,5-11 Theobalds Road,,,Holborn and Covent Garden,E05000138,-0.11589480150170155,530592.4781778476,51.52071747614482,181989.85784757853,Camden,Archives,E09000007,09/05/2021
Camden,http://www.artworkersguild.org/,Art Workers Guild,5088276,E09000007,6 Queen Square,,,Holborn and Covent Garden,E05000138,-0.12298728096553899,530098.5896435842,51.521406703398135,182053.8382839068,Camden,Archives,E09000007,09/05/2021
Camden,https://www.cilip.org.uk/,Chartered Institute of Library and Information Professionals (CILIP),5088287,E09000007,7 Ridgmount Street,,,Bloomsbury,E05000129,-0.13142165785296867,529516.7179589317,51.520309340715194,181916.85375933792,Camden,Archives,E09000007,09/05/2021
Camden,https://humanism.org.uk/,British Humanist Association,5088342,E09000007,1 Gower Street,,,Bloomsbury,E05000129,-0.13011664439373938,529608.6965997436,51.519793947442004,181861.865299617,Camden,Archives,E09000007,09/05/2021
Camden,http://www.newman.org.uk/,Newman Association,5088364,E09000007,20-22 Bedford Row,,,Holborn and Covent Garden,E05000138,-0.11611941100533675,530577.4812830333,51.52051424980567,181966.86176577298,Camden,Archives,E09000007,09/05/2021
Camden,https://www.artangel.org.uk/,The Artangel Trust,5088379,E09000007,31 Eyre Street Hill,,,Holborn and Covent Garden,E05000138,-0.1107274837438374,530944.4024382705,51.52297248902877,182249.81604515278,Camden,Archives,E09000007,09/05/2021
Camden,https://www.faber.co.uk/blog/tag/faber-archive/,Faber Archive,5088411,E09000007,Faber & Faber Ltd Bloomsbury House ,74-77 Great Russell Street,,Bloomsbury,E05000129,-0.12425902989737338,530016.6047967672,51.51922382123359,181808.88142630353,Camden,Archives,E09000007,09/05/2021
Camden,https://www.bfhu.org/,Friends of the Hebrew University of Jerusalem,5088430,E09000007,126 Albert Street,,,Camden Town with Primrose Hill,E05000130,-0.14404222390450547,528592.949545345,51.537478915941584,183803.4951230561,Camden,Archives,E09000007,09/05/2021
Camden,https://www.bhf.org.uk/,British Heart Foundation,5088648,E09000007,Greater London House  ,180 Hampstead Road,,Regent's Park,E05000142,-0.13959251143159634,528912.8723270338,51.53344266301006,183362.5804105075,Camden,Archives,E09000007,09/05/2021
Camden,https://www.constructionproducts.org.uk/,National Council of Building Materials Producers,5088670,E09000007,The Building Centre ,26 Store Street,,Bloomsbury,E05000129,-0.13156376121270205,529508.7186677172,51.51965513490975,181843.86699729617,Camden,Archives,E09000007,09/05/2021
Camden,https://warburg.sas.ac.uk/,London University: Warburg Institute,5090639,E09000007,Woburn Square,,,Bloomsbury,E05000129,-0.1306227530279117,529563.7122769392,51.52327320598068,182247.79397234687,Camden,Archives,E09000007,09/05/2021
